Institution_Name,Contact_Id,Parent_Institution_Id,Mobile_Number_1,Mobile_Number_2,Email_Id_1,Email_Id_2,Adddress_1,Address_2,Address_3,City,State,Country,Postal_Code
Foundation of Liberal and Management Education Society's  Flame School of Business  Mulshi,201392,501385,,,,,Gat No.1270  at-Lavale  Tal-Mulshi  Pune,,,Pune,Maharashtra,India,
Rajgad Dnyanpeeth's College of Pharmacy  Bhor,201393,501386,,,,,Mahad  pandharpur Road  Near Bhor PoliceStation  Bhor Dist. Pune,,,Pune,Maharashtra,India,
Bharati Vidyapeeth College of Architecture  Karjat-Dhanakvadi  Pune,201394,501387,,,,,"Bharati Vidyapeeth Deemed University 
Dhanakwadi Campus Pune",,,Pune,Maharashtra,India,
People Enpowerment Group International School of Business & Media  Mulshi.,201395,501388,,,,,S44/1  44/1/2  Nande Village. Tal- Mulshi  Sub-pashan Road  Pune. Pune   411042,,,Pune,Maharashtra,India,
S.C.E.S. Indira School Of Business Studies  Tathwade,201396,501389,,,,,Shree Chanakya Edu. Society's Indira School Of Business Studies  Tathwade,,,Pune,Maharashtra,India,
Institute For Future Education  Entrepreneurship And Leadership  Karla,201397,501390,,,,,Gat No. 178  Village Karla Taluka Maval  Pune   410405,,,Pune,Maharashtra,India,
Lexicon Global Business School  Pune,201398,501391,,,,,Gut no 726  Wagholi Pune - Nagar Road Pune  412207,,,Pune,Maharashtra,India,
Mulshi Institute of Business Management-PGDM  Sambhave Mulshi,201399,501392,,,,,Post- Sambhave Mulshi  Pune  412108,,,Pune,Maharashtra,India,
National Insurance Academy  Pune,201400,501393,,,,,25  Balewadi  Baner Road  N.I.A. P.O. Pune  411045,,,Pune,Maharashtra,India,
PICT School of Technology and Management  Mhalunge,201401,501394,,,,,Survey No 7  Hissa No 54-B Mhalunge Pune  411045,,,Pune,Maharashtra,India,
Shashwat Institute of Business Management  Katakkhadak,201402,501395,,,,,Gat No. 512  Katarkhadak  Tal. Mulshi  Dist. Pune - 411042,,,Pune,Maharashtra,India,
Ignited Mind Society's  Mulshi Institute of Retail Management,201403,501396,,,,,"GUT No. 237-243 
A/P Sambhave  Tal Mulshi  Pune",,,Pune,Maharashtra,India,
Kirloskar Institute of Advanced Management Studies  Dhamane,201404,501397,,,,,Gut No. 356 & 357  Village Dhamane Taluka Maval Pune  410506,,,Pune,Maharashtra,India,
Sun Hi-Tech & Management Development & Research Institute   Katarkhadak  Tal.Mulshi,201405,501398,,,,,Gat No. 513  Katarkhadak  Tal.Mulshi  Dist.Pune-  411042,,,Pune,Maharashtra,India,
MIT School of Telecom Management  Kothrud,201406,501399,,,,,MIT College Campus  Survey No. 124  Kothrud  Paud Road Ex Servicemen Colony  Pune 411038,,,Pune,Maharashtra,India,
Vishwakarma Global Business School  Pune,201407,501400,,,,,Survey No. 3/6 Kondhwa Budruk Pune 411048,,,Pune,Maharashtra,India,
Vidya Pratishthan's Indapur College of Architecture  Indapur  Pune,201408,501401,,,,,Indapur-Akluj Link Road  Indapur  Tal.Indiapur  Dist. Pune,,,Pune,Maharashtra,India,
Shri. Shivaji Maratha Society's College of Architecture  Pune,201409,501402,,,,,Sr. No. 74/1-B  Araneshwar  Parkati  Pune Near SBI Bank  Pune.,,,Pune,Maharashtra,India,
National Institute of Bank Management  Pune,201410,501403,,,,,-,,,Pune,Maharashtra,India,
Sinhgad Technical Education Society's Sinhgad Business School  Pune,201411,501404,,,,,19/15  Smt. Khillare Marg  Off. Karve Road  Next to Sharda Centre  Erandwane  Pune,,,Pune,Maharashtra,India,
Vidya Prasarini Sabha's College of Engineering & Technology  Lonavala,201412,501405,,,,,Gat No. 685  Mouje-Waksai  Tah- Maval  Dist Pune.,,,Pune,Maharashtra,India,
Pune Institute Of Business Management  Pune,201413,501406,,,,,605/1 Mukaywadi Road Pirangut Pune  412108,,,Pune,Maharashtra,India,
Sinhgad Technical Education Society  Sinhgad Institute of Management & Computer Application  Narhe (Ambegaon)  Pune,201414,501407,,,,,At Post Narhe  (Ambegaon)  Off Westerly by pass Pune- 411041,,,Pune,Maharashtra,India,
Matrix Education Foundation's Matrix Business School  Ambegaon  Pune,201415,501408,,,,,School Survey No. 9/2/4 & 9/1/4 & 9/1/5  Vestarnalee Bypass Road  Next to Sinhgad Science college  Vadgaon  Ambegaon  Pune 411041,,,Pune,Maharashtra,India,
Yashaswi Education Society's International Institute of Management Science (Old Code MB3435),201416,501409,,,,,S.No.169/1/A  Near Ram Krishna More Auditorium Opp. Elpro International Chinchwad Pune   411033,,,Pune,Maharashtra,India,
Ayojan School of Architecturer and Design  Pune,201417,501410,,,,,Gat No. 289  Village-Warawadi  Talluka-Purander  District-Pune-412303,,,Pune,Maharashtra,India,
Keystone School of Engineering  Pune,201418,501411,,,,,Near Handewadi Chowk Shewalewadi Uruli Devachi  Pune-412308,,,Pune,Maharashtra,India,
M.E.S.' Ideal Institute of Management & Computer Application Technical Campus  Savargaon(paud),201419,501412,,,,,Survey No. 134  At Post Savargaon(paud)  Tal.Mulshi  Dist.PUne.,,,Pune,Maharashtra,India,
Pad. Dr.D.Y.Patil Institute of Engineering  Management & Reseach  Akurdi  Pune,201420,501413,,,,,sector 29 Akurdi Pune-44,,,Pune,Maharashtra,India,
International School of Management & Research  Wadki  Pune,201421,501414,,,,,Sr.No.907  Zende Mala  Gaidhara Kanifnath Road  Chaitanya Lodge  Wadki  Pune.,,,Pune,Maharashtra,India,
Pimpri Chinchwad Education Trust's Pimpri Chinchwad College Of Engineering And Research  Ravet,201422,501415,,,,,Survey No.10  Laxmi Nagar  Ravet Plot No. B of 110(z)  110(s)  Haveli  Pune,,,Pune,Maharashtra,India,
Shri. Fattechand Jain College of B.Pharmacy  Pune.,201423,501416,,,,,D-II  60/61 ACHARYA ANAND RUSHIJI MARG TELCO ROAD CHINCHWAD,,,Pune,Maharashtra,India,
Trinity Polytechnic  Pune,201424,501417,,,,,S.No.25 & 27  Kondhawa-Saswad Road  Near Bopdev Ghat  Pune,,,Pune,Maharashtra,India,
Sant Tukaram Polytechnic  Indori  Talegaon,201425,501418,,,,,Gat No.354/1  Village Indori  Tal. Maval  Pune,,,Pune,Maharashtra,India,
S.B. Patil College of Architecture & Design Nigdi Pune,201426,501419,,,,,sector no-26 pradhikaran Nigdi  pune,,,Pune,Maharashtra,India,
Padmashree Dr. D. Y. Patil B-School  Pune,201427,501420,,,,,Off Pune-Mumbai Expressway  Tathawade  Pune - 411033,,,Pune,Maharashtra,India,
Dr.D.Y.Patil Institute Of Management & Entrepreneur Development Talegaon,201428,501421,,,,,Sr.No 27/A/1/2k  Near Talegaon Railway Station  A/P - Varale Talegaon Taluka- Maval  Dist-Pune,,,Pune,Maharashtra,India,
Anantrao Pawar College of Architecture  Parvati  Pune,201429,501422,,,,,S.No.103   Shahu College Road  Parvati  Pune,,,Pune,Maharashtra,India,
Dr. D.Y. Patil Education Academy's  Dr. D.Y. Patil College of Architecture  Pune,201430,501423,,,,,MIDC ROAD TALEGAON DABHADE  AMBI PUNE,,,Pune,Maharashtra,India,
Dattakala College of Pharmacy  Chincholi  Daund,201431,501424,,,,,Gat No. 541/2  527  Off. Pune-Solapur High way  A/P swami chincholi  Tal.Daund  Pune,,,Pune,Maharashtra,India,
Dr.D.Y.Patil College Of Engineering & Innovation Talegaon,201432,501425,,,,,Sr.No.27/A/1/2k  Near Talegaon Railway Station  A/P Varale  Talegaon  Tal-Maval Dist Pune,,,Pune,Maharashtra,India,
Balaji INstitute of Modern Managemnet Pune,201433,501426,,,,,"S.No. 55/2-7 Tathwade  Near Wakad Off  
Mumbai-Bangalore Bypass Pune",,,Pune,Maharashtra,India,
Padmashree Dr.D.Y.Patil College of Applied Arts & Crafts,201434,501427,,,,,"Sec.29 Near Akurdi Railway Station Nigdi  Pradhikaran Pune
pin-411044",,,Pune,Maharashtra,India,
ABMSP's College of Engineering & Research  Pune.,201435,501428,,,,,S.No.103  Parvati Ramana Shahu College Road  Pune.,,,Pune,Maharashtra,India,
Shri.Someshwar Shikshan Prasarak Mandals  Someshwar Engineering College  Someshwar Nagar,201436,501429,,,,,A/P: Someshwarnagar Tal: Baramati Dist:Pune,,,Pune,Maharashtra,India,
Bharati vidyapeeth's Group of Institute. Lavale Technical Campus  Mulshi  Pune.,201437,501430,,,,,At post Lavale  Lavale Technical Campus  Tal.Mulshi  Dist.Pune.,,,Pune,Maharashtra,India,
Sahyadri Valley College of Engineering & Technology  Rajuri  Pune.,201438,501431,,,,,A/P Rajuri  Taluka-Junnar  Dist-Pune. Pune   412411,,,Pune,Maharashtra,India,
Shree Ramchandra College of Engineering  Lonikand.,201439,501432,,,,,Gat No. 351 & 353 At post Lonikand  Taluka Haveli  Dist. Pune Pune   412216,,,Pune,Maharashtra,India,
Lotus Business School  Pune,201440,501433,,,,,S.No.52/53  Mumbai - Pune Expressway  Panawale  Pune. Pune   411033,,,Pune,Maharashtra,India,
Genesis Institute of Business Management  Pune,201441,501434,,,,,Survey No.208  Pune Saswad Fursunghi Pune Pune   412308,,,Pune,Maharashtra,India,
Suman Ramesh Tulsiani Technical Campus: Faculty of Engineering  Pune.,201442,501435,,,,,Kamshet  Taluka Maval  Dist. Pune Pune   410405,,,Pune,Maharashtra,India,
P.K. Technical Campus  Pune.,201443,501436,,,,,Gat. No.714(Old 1680)  Post Kadachiwadi  Post Chakan  Tal. Khed. Dist. Pune Pune   410501,,,Pune,Maharashtra,India,
Rasiklal M. Dhariwal Sinhgad Technical Institutes Campus  Warje  Pune.,201444,501437,,,,,111/1  Warje      Pune -Banglore Highway Tal.Haveli  Dist. Pune Pune   411058,,,Pune,Maharashtra,India,
SKN Sinhgad Institute of Technology & Science  Kusgaon(BK) Pune.,201445,501438,,,,,Gat No.309  Kusgaon Budruk  Opp. Pune Mumbai Express Highway  Kusgaon  Lonavala  Pune. Pune   410401,,,Pune,Maharashtra,India,
Flora Institute of Technology  Khopi  Near Khed Shivapur Toll Plaza  Tal. Bhor Dist. Pune,201446,501439,,,,,49/1  Khopi  Nr. Khed-Shivapur Toll Plaza  Off Pune-Banglore Highway  Taluka-Bhor Dist. Pune. Pune   412205,,,Pune,Maharashtra,India,
NBN Sinhgad Technical Institutes Campus  Pune,201447,501440,,,,,10/1  Ambegaon Budruk  Tal.Haveli  Dist.Pune. Pune   411041,,,Pune,Maharashtra,India,
Akemi Business School  Mulsi  Pune.,201448,501441,,,,,30/3/1  30/4/A  & 30/4/B  Buchade Wasti Village  Marunji  Tal. Mulsi  dist Pune. Pune   411057,,,Pune,Maharashtra,India,
Abhinav Education Society's Institute of Managment  Pune,201449,501442,,,,,Wadavadi.  Pune Pune   0,,,Pune,Maharashtra,India,
Shri. Gajanan Maharaj Education Society's Noble Institute of Business Management  Gorhe Budruk  Pune.,201450,501443,,,,,Gorhe Budruk  Post Donje  Tal. Haveli  Dist. Pune. Pune   411025,,,Pune,Maharashtra,India,
Saibalaji Education Society  Saibalaji International Institute of Management Sciences Nere Marunje  Hinjewadi  Pune,201451,501444,,,,,Sr.No. 54  Near Marunje  Near Hinjewadi IT Park  Pune Pune   411033,,,Pune,Maharashtra,India,
Shri Sai Educational Society's Sai Sinhgad Business School  Ambegaon  Pune,201452,501445,,,,,Sr. No. 9/1/3  Ambegaon (Bk)  Ta. Haveli  Dist Pune Pune   411041,,,Pune,Maharashtra,India,
Subhash Kool College of Engineering  Kedgaon Daund.,201453,501446,,,,,Gat No.304742/2  At Post Kedgaon  Tal Daund  Dist. Pune Pune   0,,,Pune,Maharashtra,India,
Vedant Institute of Managment & Studies  Wagholi  Pune,201454,501447,,,,,Gut No. 916  BAIF Road  Avhalwadi  Wagholi - Pune Pune   412207,,,Pune,Maharashtra,India,
Dr. DY Patil Group of Institutions (Technical Campus) - School of Engineering and Technology   Chikoli(Bk)  Via Lohegaon,201455,501448,,,,,Dr. DY Patil Knowledge City  Charoli(Bk)  Via-Lohegaon Tal. Haveli Dist. Pune Pune   412105,,,Pune,Maharashtra,India,
DR. D. Y. Patil School of Engineering Academy  Ambi,201456,501449,,,,,S.No 124 126 At/Post Ambi  Talegaon Dhabade  Taluka-Maval  Dist Pune Talegaon Dabhade  Tal. Maval Dist. Pune Pune   410506,,,Pune,Maharashtra,India,
Pune Vidyarthi Griha's Late Govind Kashinath Pate (Wani)Institute of Management Pune,201457,501450,,,,,S. No. 44   Vidyanagari  Parvati  Pune  Pune   411009,,,Pune,Maharashtra,India,
Deccan Education Soc.Institute of Management Development and Research Pune,201458,501451,,,,,Deccan Education Soc Campus Agharkar Marg  Deccan Gymkhana Pune Pune   411004,,,Pune,Maharashtra,India,
Indira Global Business School  Parandwadi Tq. Maval Dist. Pune,201459,501452,,,,,S.No.64 65 Gat No. 276  At Post.Parandwadi  Tehsil Maval  Dist. Pune 410506,,,Pune,Maharashtra,India,
Suryadatta Educational Foundation  Suryadatta Institute of Management and Mass Communication  Pune,201460,501453,,,,,Bldg No. 1  S.No.342  Patil Nagar  Bavdhan BK ,,,Pune,Maharashtra,India,
Suryadatta Educational Foundation  Suryadatta Institute of Business Management and Technology,201461,501454,,,,,Bldg No. 2  S.No.342  Patil Nagar  Bavdhan BK,,,Pune,Maharashtra,India,
Poona College of Pharmacy  Pune,201462,501455,,,,,Bharti vidyapeeth EDu Complex Erandawane  paud road  pune,,,Pune,Maharashtra,India,
INDIAN INSTITUTE OF COST AND MANAGEMENT STUDIES AND REASERCH,201463,501456,,,,,37/2/2/4  Bavdhan Khurd  Pune,,,Pune,Maharashtra,India,
Indus Business School Wakad,201464,501457,,,,,S.NO. 114/1/3  WAKAD  WAKAD MARUNJE ROAD  OFF MUMBAI-BANGALORE HIGHWAY PUNE,,,Pune,Maharashtra,India,
Institute of Technical Education  Research and Management  Akurdi,201465,501458,,,,,Sectro No.28  PCNTDA   Akurdi  Pune,,,Pune,Maharashtra,India,
Sadhu Vaswani Institute Of Management Studies For Girls  Koregaon  Pune,201466,501459,,,,,6 Koregaon Road  Pune,,,Pune,Maharashtra,India,
Sankalp Business School Vadgaon Bk  Pune,201467,501460,,,,,S.N 9/1/1  Ambegaon (Bk)  Behind Sinhgad Campus   Vadgaon Bk  Pune,,,Pune,Maharashtra,India,
Arihant Institute Of Business Management  Bawdhan,201468,501461,,,,,S.NO. 276/1  276/2  277/1  277/2  278/2 BAWDHAN (BK.)  TEHSIL-MULSHI  DIST.-PUNE PUNE,,,Pune,Maharashtra,India,
Dattakala Group Of Institutions  Swami - Chincholi,201469,501462,,,,,Gat No. 541/2  527 off.Pune-Solapur Highway No. 9  A/P-Swami-Chincholi  Tahsil - Daund  Dist-Pune,,,Pune,Maharashtra,India,
Magarpatta City Institute of Management & Technology  Hadapsar  Pune,201470,501463,,,,,Plot No. MP-4 Survey No 130 opp: mega meals Magarpatta City Hadapsar Pune-13  Tal- Haveli Dist- Pune Pune,,,Pune,Maharashtra,India,
Navsahyadri Education Society's Group of Institutions   Naigaon  Tal. Bhor  Dist. Pune,201471,501464,,,,,Gat. N0. 69 70 71  Mouje : Naigaon  Tal. Bhor  Dist. Pune -,,,Pune,Maharashtra,India,
Matrix School of Managment Studies  Ambegaon,201472,501465,,,,,Survey No. 9/1/5  9/2/4 & 9/1/4 Ambegaon (BK)  Off Westernly by Pass Road  Pune –,,,Pune,Maharashtra,India,
Gajanan Maharaj Shikshan Prasarak Mandal  Sharadchandra Pawar Institute Of Engineerinrg & Technology  Junner,201473,501466,,,,,S.NO.675 AT KHAMUNDI  POST DUMBERWADI  TAL.JUNNER  PUNE,,,Pune,Maharashtra,India,
DATTAKALA SHIKSHAN SANSTHA'S DATTAKALA INSTITUTE OF INFORMATION TECHNOLOGY DAUND,201474,501467,,,,,PUNE-SOLAPUR HIGHWAY  AT POST SWAMI CHINCHOLI  TAL.DAUND  PUNE.,,,Pune,Maharashtra,India,
KASEGAON EDUCATION SOCEITY'S POLYTECHNIC  LOHAGAON,201475,501468,,,,,S.NO.35/4 LOHAGAON  VADGAON SHINDE RD TAL:- HAVELI,,,Pune,Maharashtra,India,
KBPSS-Sahyadri Polytechnic,201476,501469,,,,,A/P-Kikavi  Tal-BHOR  Pune -412205,,,Pune,Maharashtra,India,
KARMVEER BHAURAO PATIL SHIKSHAN SANSTHA'S  SAU SUPRIYATAI SULE POLYTECHNIC  PUNE,201477,501470,,,,,PO:NASARAPUR  KIKVI(MORWADI) BHOR,,,Pune,Maharashtra,India,
MCE Society Institute of Pharmacy (  Diploma)  Pune,201478,501471,,,,,MCE Society's Institute of Pharmacy (Diploma)2390-B. K.B. Hidayatullah Road  Azam Campus  Camp  Pune-411001,,,Pune,Maharashtra,India,
Maharashtra  Institute of  Printing Technology(Un Aided)  Pune,201479,501472,,,,,1786  Sadashiv Peth,,,Pune,Maharashtra,India,
SHAHAJIRAO PATIL VIKAS PRATISHTHAN  S. B. PATIL POLYTECHNIC  INDAPUR,201480,501473,,,,,GAT NO.58 VILLAGE VANGALI TAL.INDAPUR DIST:PUNE,,,Pune,Maharashtra,India,
SVM's Late Hon D.R. Kakade Rural Institute of Engg. & Technology,201481,501474,,,,,Pimpalwadi  Taluka Junnar  Dist.Pune 412412,,,Pune,Maharashtra,India,
Rameshwar Mauli Pratishthan  Bhalchandra Polytechnic  Gorhe(Khurd)  Pune,201482,501475,,,,,437  Shikhago Hills  Pune-Panshet Road  Gorhe (Khurd) Dist. Pune,,,Pune,Maharashtra,India,
Genba Sopanrao Moze Institute of Technology  Balewadi  Tal.Haveli,201483,501476,,,,,Survey No. 25/1/3  Balewadi  Tal.Haveli  Dist. Pune,,,Pune,Maharashtra,India,
Shivneri Foundation  Shivneri Polytechnic  Khanapur  Junnar,201484,501477,,,,,Khanapur  Junnar  Dist. Pune,,,Pune,Maharashtra,India,
Vidya Pratishthan's Polytechnic College  Vidyanagari  Indapur,201485,501478,,,,,Vidyanagari Indapur  Dist.Pune,,,Pune,Maharashtra,India,
Dr. D.Y. Patil Polytechnic  Ambi.  Talegaon,201486,501479,,,,,S. No. 124 & 126 Talegaon MIDC Road  Talegaon Dabhade  Pune 410507,,,Pune,Maharashtra,India,
Dr. DY Patil Group of Institutions  Lohegaon.,201487,501480,,,,,Dr. DY Patil Knowledge City  Charoli Budurk  via Lohegaon,,,Pune,Maharashtra,India,
Dhareshwar Institute of Management  Dhayari,201488,501481,,,,,S. No. 48  Indraprasth Nagar Dhayari  Tal. Haveli  Pune,,,Pune,Maharashtra,India,
Sinhgad School of Business Studies  Narhe,201489,501482,,,,,S. No. 45/15/1/2  45/15/2 & 45/15/3 at Narhe  Taluka Haveli  Pune,,,Pune,Maharashtra,India,
Institute of Management and Computer Studies  Kothrud  Pune,201490,501483,,,,,Rambaugh Colony  Opp. To Krishna Hospital  Paud Road  Kothrud  Pune,,,Pune,Maharashtra,India,
Kohinoor Business School and Centre for Management Research Khandala Tal Mawal  Dist Pune,201491,501484,,,,,Old Pune-Mumbai Highway  Khandala Tal Mawal  Dist Pune,,,Pune,Maharashtra,India,
Sinhgad Technical Education Society's S.K.N. Sinhgad School of Business Management  Ambegaon,201492,501485,,,,,10/1  Ambegaon(Bu.)  Tal- Haveli  Pune.,,,Pune,Maharashtra,India,
Jaihind College Of Engineering Kuran,201493,501486,,,,,G. No. 441  Kuran  Tal: Junnar  Pune,,,Pune,Maharashtra,India,
DR. D. Y. Patil institute of engineering and technology  Ambi,201494,501487,,,,,s.no 124 126 at/post ambi talegaon dhabade Taluka-maval dist pune talegaon Dabhade  Tal. Maval Dist -Pune 410506 Pune,,,Pune,Maharashtra,India,
Institute Of Knowledge-College Of Engineering  Pimpale - Jagtap,201495,501488,,,,,Pimpale - Jagtap   Tal. Shirur   District - Pune.  Shirur,,,Pune,Maharashtra,India,
ISB&M School of  Technology  Nande Village,201496,501489,,,,,Survey No.44/1  44/1/2  Nande Village Taluka Mulshi   Pune,,,Pune,Maharashtra,India,
TMV Institute of Hotel Management & Catering Technology  Mukundnagar,201497,501490,,,,,Vidyapeeth Campus  Gultekdi  Mukundnagar  Pune,,,Pune,Maharashtra,India,
Universal College of Engineering & Research  Sasewadi,201498,501491,,,,,Gat No. 430  Sasewadi  Taluka - Bhor  Gat No. 430  Sasewadi  Taluka - Bhor  Pune,,,Pune,Maharashtra,India,
Vidya Pratishthan's School of Architecture Baramati,201499,501492,,,,,Vidya Pratishthan's School of Architecture Vidyanagari Baramati Dist-Pune,,,Pune,Maharashtra,India,
TSSM's Bhivarabai Sawant College of Engineering and Research  Narhe,201500,501493,,,,,S.No. 12/1/2 and 12/2/2  Narhe  Taluka Haveli  Dist: Pune  Pune,,,Pune,Maharashtra,India,
Shri Someshwar Shikshan Prasarak Mandal Someshwar Polytechnic College Someshwarnagar,201501,501494,,,,,Gat ..No. 53  Waghalwadi  Post-Someshwarnagar  Tal-Baramati  Dist-Pune,,,Pune,Maharashtra,India,
Navsahyadri Education Society Navsahyadri Institute of TEchnology  Gat. Mouje Naigaon  Tal-Bhor Pune,201502,501495,,,,,Gat. No. 69 70 71  Mouje Naigaon  Tal-Bhor  Dist-Pune,,,Pune,Maharashtra,India,
Shivaneri Bahuuddeshiya Sevabhavi Shikshan Sanstha Hon.Ajitdada Pawar Diploma Engineering College Ane,201503,501496,,,,,Gat No 1034 Ane Tal- Junnar  Dist -Pune,,,Pune,Maharashtra,India,
Jehangir Hospital Jehangir Institute of Paramedical Studies  Jehangir Hospital Campus   Pune,201504,501497,,,,,Jehangir Hospital Campus  32 Sasoon Road  Pune,,,Pune,Maharashtra,India,
Dnyan Kala Krida & Krushi Pratishan Babasaheb Phadtare Polytechnic  Kalamb Walchandnagar  Tal-Indapur  Pune.,201505,501498,,,,,S.No.40/1 Kalamb Walchandnagar  Tal-Indapur Dist Pune.,,,Pune,Maharashtra,India,
Purandar College of Engineering and Management Research,201506,501499,,,,,Svy.NO.25&27 At pisoli Post Yevalewadi Tal-Haveli Bopdeo Ghat Pune,,,Pune,Maharashtra,India,
Modern Institute of Business Management,201507,501500,,,,,1186 Shivajinagar Dist-Pune,,,Pune,Maharashtra,India,
Camp Education Society's Institute of Management  Nigdi  Pune,201508,501501,,,,,Sector No.27/ A  Pradhikaran  Nigdi  Pune Pune   411044,,,Pune,Maharashtra,India,
International Institute of Information Technology (I²IT)  Pune.,201509,501502,,,,,P-14  Rajiv Gandhi Infotech Park  Hinjawadi  Pune Pune   411057,,,Pune,Maharashtra,India,
JSPM narhe Technical Campus  Pune.,201510,501503,,,,,S.No.12/2/2  14/9  Narhe  Pune Pune   411041,,,Pune,Maharashtra,India,
St.Wilfreds Institute of Technology Panvel,201511,501504,,,,,Survey No 92A/A Opposite Ayush Resort  Near Shedung Tollnaka Old Bombay Pune Highway Panvel Raigad   410206,,,Raigad,Maharashtra,India,
G.M.Vedak Institute of Technology  Tala  Raigad.,201512,501505,,,,,At Post Taluka. Tala  Dist. Raigad Raigad   0,,,Raigad,Maharashtra,India,
Anjuman-I-Islam's Kalsekar Technical Campus  Panvel.,201513,501506,,,,,Plot No.2  3 Sector - 16  Khandgaon  Thane Naka  Panvel Raigad   410206,,,Raigad,Maharashtra,India,
Mahatma Education Society's Pillai's HOC College of Architecture  Rasayani,201514,501507,,,,,"Pillai HOCL Educational Campus  Rasayani 

Tal- Khalapur  Via Panvel  Dist. Raigad.",,,Raigad,Maharashtra,India,
Dilkap Research Institute Of Engineering and Management Studies  At.Mamdapur  Post- Neral  Tal- Karjat   Mumbai,201515,501508,,,,,Village At.Mamdapur  Post- Neral  Tal- Karjat   Mumbai,,,Raigad,Maharashtra,India,
Yadavrao Tasgaonkar Institute of Management Studies and Research  Village-Chadhai  Bhivpuri  Dist Raigad,201516,501509,,,,,Village-Chadhai  Bhivpuri  Karjat  Dist Raigad,,,Raigad,Maharashtra,India,
S A V Acharya Institute of Management Studies  Shelu  Tal. Karjat Dist. Thane,201517,501510,,,,,Shelu/Damat Village  Taluka Karjat  Dist Thane,,,Raigad,Maharashtra,India,
Smt. Geeta D. Tatkare POlytechnic At Gove  Kolad,201518,501511,,,,,At Gove  Post Kolad  Taluka Roha  Dist. Raigad.,,,Raigad,Maharashtra,India,
Chhartrapati Shivaji Maharaj Institute of Technology  Shedung  Panvel,201519,501512,,,,,92A/1  Old Mumbai Pune Highway  Near Shedung Toll naka Village Shedung  Panvel  Dist Raigad,,,Raigad,Maharashtra,India,
Vishwaniketan's Institute of Management Entrepreneurship and Engineering Technology(i MEET)  Khalapur Dist Raigad,201520,501513,,,,,SURVEY NO. 52 KUMBHIVALI  ON MUMBAI-PUNE EXPRESSWAY  NEAR KHALAPUR TOLL NAKA  TAL-KHALAPUR  DIST- RAIGAD,,,Raigad,Maharashtra,India,
Vishwaniketan College of Architecture  Art & Design  Khalapur,201521,501514,,,,,Survey No. 52  Kumbhivali Near Khalapur Toll Naka  off Mumbai-Pune  Expressway  Khalapur  Raigad,,,Raigad,Maharashtra,India,
St. Wilfred's Institute of Pharmacy  Panvel,201522,501515,,,,,old Mumbai-Pune Highway Near Shedoung Toll plaza  Raigad,,,Raigad,Maharashtra,India,
Bharti Vidyapeeth's Institute of Management Studies & Research  Navi Mumbai,201523,501516,,,,,Sector 8. CBD  Opp. Konkan Bhavan Navi Mumbai Raigad   400614,,,Raigad,Maharashtra,India,
Asian Institute of Communication and Research  AICAR Business School  Karjat,201524,501517,,,,,Village-Damat  P.o. Neral  Tal- Karjat  Raigad.410101,,,Raigad,Maharashtra,India,
Oriental Education Society  Oriental School of Business  Navi Mumbai,201525,501518,,,,,Plot No.149  sector-12  Vashi  Navi Mumbai. 400703,,,Raigad,Maharashtra,India,
Institute for Technology and Management & Administration  Navi Mumbai,201526,501519,,,,,Plot No.25/26  Institutional Area Sector 4  Kharghar(E)  Navi Mumbai.,,,Raigad,Maharashtra,India,
Saraswati Institute of Management and Research(SIMARC)  Navi Mumbai.,201527,501520,,,,,Plot No. 46  Sector 5  Kharghar   Navi Mumbai. 410210,,,Raigad,Maharashtra,India,
Prabhakar Patil Education Society's Institute of Management Studies Alibag  Raigad,201528,501521,,,,,Plot no.4&6  Survey No. 81/6 at & Post Veshvi Gondhalpada Alibag. Raigad   402103,,,Raigad,Maharashtra,India,
Rayat Shikshan Sanstha's Modern College  New Mumbai,201529,501522,,,,,Sector 15-A  Vashi  Juhu Nagar  New Mumbai Raigad,,,Raigad,Maharashtra,India,
SBNM College of Pharmacy(D.Pharmacy)  Mahad,201530,501523,,,,,Gut No.311 & 313  Achloli  Mahad  Raigad,,,Raigad,Maharashtra,India,
Suman Educational Trust  Dilkap Research Centre & Institute of Management Studies  Mamdapur,201531,501524,,,,,At. Village Mamdapur Post Neral Tal-Karjat  Dist-Raigad-410101,,,Raigad,Maharashtra,India,
IBSAR Trust's IBSAR Institute of Management Studies Dahivali Tarfe Need  Karjat  Dist Raigad,201532,501525,,,,,Dahivali Tarfe Need  Karjat  Dist: Raigad,,,Raigad,Maharashtra,India,
Dr. G D Pol Foundation YMT College of Management  Kharghar  Navi Mumbai,201533,501526,,,,,Intitutional Area  Sector 4  Kharghar  Navi Mumbai 410 210.,,,Raigad,Maharashtra,India,
Saraswati Education Society  Group of Institutions  Diksal(Integrated Campus),201534,501527,,,,,Sau.Vandana N.Tasgaonkar Technical Education Complex  Plot No.14  Village Diksal Post Koshan  Kalyan-Karjat Road  Dist. Raiga,,,Raigad,Maharashtra,India,
Saraswati Education Society's Yadavrao Tasagaonkar School of business Management Karjat  Mumbai,201535,501528,,,,,Dr.N.Y.Tasgaonkar Education complex  Village: Chandhai  Near Bhivpuri Road Station  Taluka: Karjat  Mumbai Pune Railway Route,,,Raigad,Maharashtra,India,
Saraswati Education Society's Saraswati College of Engineering Kharghar  Navi Mumbai,201536,501529,,,,,Plot No 46/46 A  Sector 5 Kharghar Navi Mumbai,,,Raigad,Maharashtra,India,
